name,slug,url,section,subcategory
Data Modeling,data-modeling,https://www.udemy.com/topic/data-modeling/,Bestselling,Business Analytics & Intelligence
PMI PMBOK,pmbok,https://www.udemy.com/topic/pmbok/,Bestselling,Project Management
Unreal Engine,unreal-engine,https://www.udemy.com/topic/unreal-engine/,Bestselling,Game Development
Drawing,drawing,https://www.udemy.com/topic/drawing/,Bestselling,Arts & Crafts
Linux,linux,https://www.udemy.com/topic/linux/,Bestselling,Operating Systems & Servers
Docker,docker,https://www.udemy.com/topic/docker/,Bestselling,Software Development Tools
Stock Trading,stock-trading,https://www.udemy.com/topic/stock-trading/,Bestselling,Investing & Trading
Cybersecurity,cyber-security,https://www.udemy.com/topic/cyber-security/,Bestselling,Network & Security
Investing,investing,https://www.udemy.com/topic/investing/,Bestselling,Investing & Trading
Financial Analysis,financial-analysis,https://www.udemy.com/topic/financial-analysis/,Bestselling,Financial Modeling & Analysis
CompTIA Network+,comptia-network,https://www.udemy.com/topic/comptia-network/,Bestselling,IT Certifications
WordPress,wordpress,https://www.udemy.com/topic/wordpress/,Bestselling,Web Development
AZ-900: Microsoft Azure Fundamentals,microsoft-az-900,https://www.udemy.com/topic/microsoft-az-900/,Bestselling,IT Certifications
Google Flutter,google-flutter,https://www.udemy.com/topic/google-flutter/,Bestselling,Mobile Development
Graphic Design,graphic-design,https://www.udemy.com/topic/graphic-design/,Bestselling,Graphic Design & Illustration
AWS Certified Developer - Associate,aws-certified-developer-associate,https://www.udemy.com/topic/aws-certified-developer-associate/,Bestselling,IT Certifications
Data Analysis,data-analysis,https://www.udemy.com/topic/data-analysis/,Bestselling,Business Analytics & Intelligence
Video Editing,video-editing,https://www.udemy.com/topic/video-editing/,Bestselling,Video Design
Guitar,guitar,https://www.udemy.com/topic/guitar/,Bestselling,Instruments
Angular,angular,https://www.udemy.com/topic/angular/,Bestselling,Web Development
Game Development Fundamentals,game-development,https://www.udemy.com/topic/game-development/,Bestselling,Game Development
Photography,photography,https://www.udemy.com/topic/photography/,Bestselling,Photography
Spring Framework,spring-framework,https://www.udemy.com/topic/spring-framework/,Bestselling,Engineering
Real Estate Investing,real-estate-investing,https://www.udemy.com/topic/real-estate-investing/,Bestselling,Real Estate
Data Structures,data-structures,https://www.udemy.com/topic/data-structures/,Bestselling,Software Engineering
Piano,piano,https://www.udemy.com/topic/piano/,Bestselling,Instruments
DevOps,devops,https://www.udemy.com/topic/devops/,Bestselling,Other IT & Software
Accounting,accounting,https://www.udemy.com/topic/accounting/,Bestselling,Accounting & Bookkeeping
PLC,plc,https://www.udemy.com/topic/plc/,Bestselling,Hardware
User Experience (UX) Design,user-experience-design,https://www.udemy.com/topic/user-experience-design/,Bestselling,User Experience Design
Certified Kubernetes Administrator (CKA),certified-kubernetes-administrator-cka,https://www.udemy.com/topic/certified-kubernetes-administrator-cka/,Bestselling,IT Certifications
Communication Skills,communication-skills,https://www.udemy.com/topic/communication-skills/,Bestselling,Communication
AutoCAD,autocad,https://www.udemy.com/topic/autocad/,Bestselling,Design Tools
German Language,german-language,https://www.udemy.com/topic/german-language/,Bestselling,Language Learning
Artificial Intelligence (AI),artificial-intelligence,https://www.udemy.com/topic/artificial-intelligence/,Bestselling,Data Science
Business Analysis,business-analysis,https://www.udemy.com/topic/business-analysis/,Bestselling,Business Analytics & Intelligence
Deep Learning,deep-learning,https://www.udemy.com/topic/deep-learning/,Bestselling,Data Science
Electronics,electronics,https://www.udemy.com/topic/electronics/,Bestselling,Other Design
Typescript,typescript,https://www.udemy.com/topic/typescript/,Bestselling,Web Development
Math,math,https://www.udemy.com/topic/math/,Bestselling,Math
AWS Certified Solutions Architect - Professional,aws-certified-solutions-architect-professional,https://www.udemy.com/topic/aws-certified-solutions-architect-professional/,Bestselling,IT Certifications
Social Media Marketing,social-media-marketing,https://www.udemy.com/topic/social-media-marketing/,Bestselling,Digital Marketing
Software Testing,software-testing,https://www.udemy.com/topic/software-testing/,Bestselling,Software Testing
IT Networking Fundamentals,it-networking-fundamentals,https://www.udemy.com/topic/it-networking-fundamentals/,Bestselling,IT Certifications
SAP,sap,https://www.udemy.com/topic/sap/,Bestselling,SAP
Microservices,microservices,https://www.udemy.com/topic/microservices/,Bestselling,Web Development
Adobe Photoshop,photoshop,https://www.udemy.com/topic/photoshop/,Bestselling,Graphic Design & Illustration
Git,git,https://www.udemy.com/topic/git/,Bestselling,Software Development Tools
Spanish Language,spanish-language,https://www.udemy.com/topic/spanish-language/,Bestselling,Language Learning
3D Modeling,3d-modeling,https://www.udemy.com/topic/3d-modeling/,Bestselling,3D & Animation
Life Coach Training,life-coaching,https://www.udemy.com/topic/life-coaching/,Bestselling,Personal Transformation
Algorithms,algorithms,https://www.udemy.com/topic/algorithms/,Bestselling,Software Engineering
AZ-104: Microsoft Azure Administrator Associate,microsoft-az-104,https://www.udemy.com/topic/microsoft-az-104/,Bestselling,IT Certifications
Leadership,leadership,https://www.udemy.com/topic/leadership/,Bestselling,Management
Linux Administration,linux-administration,https://www.udemy.com/topic/linux-administration/,Bestselling,Operating Systems & Servers
Music Theory,music-theory,https://www.udemy.com/topic/music-theory/,Bestselling,Music Fundamentals
Massage,massage,https://www.udemy.com/topic/massage/,Bestselling,General Health
English Grammar,english-grammar,https://www.udemy.com/topic/english-grammar/,Bestselling,Language Learning
3D Game Development,3d-game-development,https://www.udemy.com/topic/3d-game-development/,Bestselling,Game Development
Software Architecture,software-architecture,https://www.udemy.com/topic/software-architecture/,Bestselling,Software Engineering
PL-300: Microsoft Power BI Data Analyst Associate,microsoft-pl-300,https://www.udemy.com/topic/microsoft-pl-300/,Bestselling,IT Certifications
Canva,canva,https://www.udemy.com/topic/canva/,Bestselling,Graphic Design & Illustration
Search Engine Optimization (SEO),seo,https://www.udemy.com/topic/seo/,Bestselling,Search Engine Optimization
ASP.NET Core,aspnet-core,https://www.udemy.com/topic/aspnet-core/,Bestselling,Web Development
CSS,css,https://www.udemy.com/topic/css/,Bestselling,Web Development
Social Media Management,social-media-management,https://www.udemy.com/topic/social-media-management/,Bestselling,Social Media Marketing
Prompt Engineering,prompt-engineering,https://www.udemy.com/topic/prompt-engineering/,Bestselling,Software Development Tools
Financial Modeling,financial-modeling,https://www.udemy.com/topic/financial-modeling/,Bestselling,Financial Modeling & Analysis
French Language,french-language,https://www.udemy.com/topic/french-language/,Bestselling,Language Learning
Music Production,music-production,https://www.udemy.com/topic/music-production/,Bestselling,Music Production
Statistics,statistics,https://www.udemy.com/topic/statistics/,Bestselling,Math
Microsoft Playwright,playwright,https://www.udemy.com/topic/playwright/,Development,Software Testing
iOS Development,ios-development,https://www.udemy.com/topic/ios-development/,Development,Mobile Development
Dart (programming language),dart-programming-language,https://www.udemy.com/topic/dart-programming-language/,Development,Mobile Development
MySQL,mysql,https://www.udemy.com/topic/mysql/,Development,Database Design & Development
Coding Interview,coding-interview,https://www.udemy.com/topic/coding-interview/,Development,Programming Languages
Node.Js,nodejs,https://www.udemy.com/topic/nodejs/,Development,Web Development
React Native,react-native,https://www.udemy.com/topic/react-native/,Development,Mobile Development
C (programming language),c-programming,https://www.udemy.com/topic/c-programming/,Development,Programming Languages
Spring Boot,spring-boot,https://www.udemy.com/topic/spring-boot/,Development,Web Development
GitHub,github,https://www.udemy.com/topic/github/,Development,Software Development Tools
Android Development,android-development,https://www.udemy.com/topic/android-development/,Development,Mobile Development
Certified Kubernetes Application Developer (CKAD),certified-kubernetes-application-developer-ckad,https://www.udemy.com/topic/certified-kubernetes-application-developer-ckad/,Development,Software Engineering
Django,django,https://www.udemy.com/topic/django/,Development,Web Development
Programming Fundamentals,programming-fundamentals,https://www.udemy.com/topic/programming-fundamentals/,Development,Programming Languages
Next.js,nextjs-p,https://www.udemy.com/topic/nextjs-p/,Development,Web Development
Generative AI (GenAI),generative-ai,https://www.udemy.com/topic/generative-ai/,Development,Data Science
Swift,swift,https://www.udemy.com/topic/swift/,Development,Mobile Development
FastAPI,fastapi,https://www.udemy.com/topic/fastapi/,Development,Web Development
Selenium WebDriver,selenium-webdriver,https://www.udemy.com/topic/selenium-webdriver/,Development,Software Testing
HTML5,html5,https://www.udemy.com/topic/html5/,Development,Web Development
Object-Oriented Programming (OOP),object-oriented-programming,https://www.udemy.com/topic/object-oriented-programming/,Development,Programming Languages
MERN Stack,mern-stack,https://www.udemy.com/topic/mern-stack/,Development,Web Development
Go (programming language),go-programming-language,https://www.udemy.com/topic/go-programming-language/,Development,Programming Languages
PHP (programming language),php,https://www.udemy.com/topic/php/,Development,Web Development
PyTorch,pytorch,https://www.udemy.com/topic/pytorch/,Development,Data Science
Vue JS,vue-js,https://www.udemy.com/topic/vue-js/,Development,Web Development
R (programming language),r-programming-language,https://www.udemy.com/topic/r-programming-language/,Development,Data Science
